node_id,intervention,seed,total_conflicts,severe_conflicts
cluster_11158897100_11158897101_11158897102_664471748_#1more,add_signal,123,250,74
cluster_11158897100_11158897101_11158897102_664471748_#1more,add_signal,777,282,80
cluster_10279761592_11942000229_11942000233_663943274,none,42,401,100
cluster_10279761592_11942000229_11942000233_663943274,none,123,394,122
cluster_10279761592_11942000229_11942000233_663943274,none,777,390,108
cluster_10279761592_11942000229_11942000233_663943274,speed_breaker,42,366,86
cluster_10279761592_11942000229_11942000233_663943274,speed_breaker,123,391,124
cluster_10279761592_11942000229_11942000233_663943274,speed_breaker,777,372,116
cluster_10279761592_11942000229_11942000233_663943274,add_signal,42,458,136
cluster_10279761592_11942000229_11942000233_663943274,add_signal,123,450,144
cluster_10279761592_11942000229_11942000233_663943274,add_signal,777,484,124
664472699,none,42,320,94
664472699,none,123,249,69
664472699,none,777,302,74
664472699,speed_breaker,42,331,84
664472699,speed_breaker,123,251,64
664472699,speed_breaker,777,308,65
664472699,add_signal,42,354,98
664472699,add_signal,123,278,94
664472699,add_signal,777,331,110
1177212157,none,42,502,175
1177212157,none,123,547,181
1177212157,none,777,545,189
1177212157,speed_breaker,42,531,187
1177212157,speed_breaker,123,508,166
1177212157,speed_breaker,777,499,174
1177212157,add_signal,42,530,185
1177212157,add_signal,123,507,188
1177212157,add_signal,777,547,199
13300645527,none,42,531,223
13300645527,none,123,508,195
13300645527,none,777,559,208
13300645527,speed_breaker,42,531,223
13300645527,speed_breaker,123,508,195
13300645527,speed_breaker,777,509,184
13300645527,turn_restriction,42,531,223
13300645527,turn_restriction,123,508,195
13300645527,turn_restriction,777,559,208
cluster_664446535_8507351665_8507351666,turn_restriction,42,510,197
cluster_664446535_8507351665_8507351666,turn_restriction,123,525,186
cluster_664446535_8507351665_8507351666,turn_restriction,777,525,180
cluster_1186025344_13298747727_13298747728_13298747738_#3more,turn_restriction,42,490,181
cluster_1186025344_13298747727_13298747728_13298747738_#3more,turn_restriction,123,546,171
cluster_1186025344_13298747727_13298747728_13298747738_#3more,turn_restriction,777,457,156
cluster_13298740740_664446558,turn_restriction,42,503,161
cluster_13298740740_664446558,turn_restriction,123,510,162
cluster_13298740740_664446558,turn_restriction,777,483,171
cluster_1177212073_13300645524_664471560,turn_restriction,42,468,162
cluster_1177212073_13300645524_664471560,turn_restriction,123,465,171
cluster_1177212073_13300645524_664471560,turn_restriction,777,529,173
cluster_1177211838_13300645525_13300645528,turn_restriction,42,465,165
cluster_1177211838_13300645525_13300645528,turn_restriction,123,499,179
cluster_1177211838_13300645525_13300645528,turn_restriction,777,571,193
cluster_10281958925_10281958926_6508834064_6508834065_#1more,turn_restriction,42,261,80
cluster_10281958925_10281958926_6508834064_6508834065_#1more,turn_restriction,123,299,90
cluster_10281958925_10281958926_6508834064_6508834065_#1more,turn_restriction,777,278,64
cluster_1177211304_1177211692,turn_restriction,42,535,173
cluster_1177211304_1177211692,turn_restriction,123,527,152
cluster_1177211304_1177211692,turn_restriction,777,524,179
cluster_10279701142_664471710,turn_restriction,42,225,60
cluster_10279701142_664471710,turn_restriction,123,299,88
cluster_10279701142_664471710,turn_restriction,777,282,84
1177160864,turn_restriction,42,237,61
1177160864,turn_restriction,123,250,78
1177160864,turn_restriction,777,282,86
cluster_11944729366_664471711,turn_restriction,42,268,105
cluster_11944729366_664471711,turn_restriction,123,247,77
cluster_11944729366_664471711,turn_restriction,777,257,82
cluster_11158897100_11158897101_11158897102_664471748_#1more,turn_restriction,42,242,72
cluster_11158897100_11158897101_11158897102_664471748_#1more,turn_restriction,123,249,56
cluster_11158897100_11158897101_11158897102_664471748_#1more,turn_restriction,777,238,76
cluster_10279761592_11942000229_11942000233_663943274,turn_restriction,42,401,100
cluster_10279761592_11942000229_11942000233_663943274,turn_restriction,123,394,122
cluster_10279761592_11942000229_11942000233_663943274,turn_restriction,777,390,108
664472699,turn_restriction,42,320,94
664472699,turn_restriction,123,249,69
664472699,turn_restriction,777,302,74
1177212157,turn_restriction,42,502,175
1177212157,turn_restriction,123,547,181
1177212157,turn_restriction,777,545,189
