node_id,intervention,mean_total_conflicts,std_total_conflicts,mean_severe_conflicts,std_severe_conflicts,num_replicates,subnet_baseline_conflicts,subnet_baseline_severe,baseline_mean_conflicts,baseline_mean_severe,conflict_delta,conflict_pct_change,severe_delta,severe_pct_change,node_type,has_signal,num_lanes_total,num_connected_edges,avg_speed_limit_ms,lat,lon,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows,likely_real_effect
1177160864,add_signal,1344.3333333333333,42.770706486254525,394.0,19.974984355438178,3,1209.3333333333333,335.6666666666667,154,48,135.0,11.163175303197354,58.333333333333314,17.378351539225413,priority,False,4,4,18.05,22.56767952940121,88.3550875745227,42,6.759285714285714,17.98,18,0.1392857142857143,22.205714285714286,0.0,1.6535714285714285,3.597857142857143,0.08,-0.4585714285714286,-5.0,225,14,True
1177160864,none,1209.3333333333333,40.27819923151152,335.6666666666667,31.06981386061611,3,1209.3333333333333,335.6666666666667,154,48,0.0,0.0,0.0,0.0,priority,False,4,4,18.05,22.56767952940121,88.3550875745227,42,6.759285714285714,17.98,18,0.1392857142857143,22.205714285714286,0.0,1.6535714285714285,3.597857142857143,0.08,-0.4585714285714286,-5.0,225,14,False
1177160864,speed_breaker,1174.3333333333333,16.921386861996066,326.3333333333333,27.736858750286302,3,1209.3333333333333,335.6666666666667,154,48,-35.0,-2.894156560088203,-9.333333333333371,-2.7805362462760788,priority,False,4,4,18.05,22.56767952940121,88.3550875745227,42,6.759285714285714,17.98,18,0.1392857142857143,22.205714285714286,0.0,1.6535714285714285,3.597857142857143,0.08,-0.4585714285714286,-5.0,225,14,True
1177212157,add_signal,3120.0,25.534290669607408,1036.6666666666667,41.476901202155105,3,3087.0,1011.0,80,26,33.0,1.0689990281827018,25.666666666666742,2.538740520936374,priority,False,5,5,26.67,22.56810642844221,88.36025779779922,105,13.7,18.0,77,0.2134782608695652,21.077142857142857,0.0,1.5742857142857145,3.3704761904761904,0.11,0.1852173913043478,-5.0,158,23,False
1177212157,none,3087.0,54.3415126767741,1011.0,20.074859899884732,3,3087.0,1011.0,80,26,0.0,0.0,0.0,0.0,priority,False,5,5,26.67,22.56810642844221,88.36025779779922,105,13.7,18.0,77,0.2134782608695652,21.077142857142857,0.0,1.5742857142857145,3.3704761904761904,0.11,0.1852173913043478,-5.0,158,23,False
1177212157,speed_breaker,3102.3333333333335,115.09271624795953,992.6666666666666,20.79262689833427,3,3087.0,1011.0,80,26,15.333333333333485,0.49670661915560366,-18.33333333333337,-1.8133860863831226,priority,False,5,5,26.67,22.56810642844221,88.36025779779922,105,13.7,18.0,77,0.2134782608695652,21.077142857142857,0.0,1.5742857142857145,3.3704761904761904,0.11,0.1852173913043478,-5.0,158,23,False
13300645527,none,3254.3333333333335,97.70533932868419,1107.0,16.703293088490067,3,3254.3333333333335,1107.0,79,29,0.0,0.0,0.0,0.0,rail_crossing,False,6,6,23.15,22.56821888511195,88.36027835176473,1,24.80333333333333,16.26,0,0.12,7.569999999999999,0.0,-0.661111111111111,2.962222222222222,0.18,-0.2822222222222222,-5.0,17,9,False
13300645527,speed_breaker,3230.6666666666665,186.32319590789913,1082.6666666666667,44.060564378288795,3,3254.3333333333335,1107.0,79,29,-23.66666666666697,-0.7272354808972745,-24.333333333333258,-2.1981330924420286,rail_crossing,False,6,6,23.15,22.56821888511195,88.36027835176473,1,24.80333333333333,16.26,0,0.12,7.569999999999999,0.0,-0.661111111111111,2.962222222222222,0.18,-0.2822222222222222,-5.0,17,9,False
664472699,add_signal,1165.3333333333333,70.86842268128548,328.3333333333333,19.399312702601954,3,1126.0,303.6666666666667,82,12,39.33333333333326,3.4931912374185843,24.66666666666663,8.122941822173422,priority,False,4,4,18.05,22.56797131329064,88.35458928487955,3,16.903846153846153,17.89,0,0.0207692307692307,42.62583333333333,0.0,1.3116666666666668,4.59,0.05,0.0892307692307692,-5.0,55,13,False
664472699,none,1126.0,29.444863728670914,303.6666666666667,14.011899704655802,3,1126.0,303.6666666666667,82,12,0.0,0.0,0.0,0.0,priority,False,4,4,18.05,22.56797131329064,88.35458928487955,3,16.903846153846153,17.89,0,0.0207692307692307,42.62583333333333,0.0,1.3116666666666668,4.59,0.05,0.0892307692307692,-5.0,55,13,False
664472699,speed_breaker,1114.6666666666667,85.14888920786535,289.3333333333333,28.095076674273976,3,1126.0,303.6666666666667,82,12,-11.333333333333258,-1.006512729425689,-14.333333333333371,-4.720087815587279,priority,False,4,4,18.05,22.56797131329064,88.35458928487955,3,16.903846153846153,17.89,0,0.0207692307692307,42.62583333333333,0.0,1.3116666666666668,4.59,0.05,0.0892307692307692,-5.0,55,13,False
cluster_10279701142_664471710,add_signal,1386.3333333333333,16.65332799572904,451.0,16.522711641858304,3,1146.6666666666667,330.3333333333333,179,74,239.66666666666652,20.90116279069766,120.66666666666669,36.5287588294652,priority,False,12,8,16.67,22.567898961306405,88.35605718601485,67,10.198409090909092,17.98,22,0.0845454545454545,50.93285714285714,0.0,-1.4185714285714286,10.542142857142856,0.5,0.2813636363636363,-5.0,118,44,True
