node_id,node_type,has_signal,num_lanes_total,num_connected_edges,avg_speed_limit_ms,lat,lon,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows,total_conflicts,severe_conflicts,mean_min_ttc,mean_max_drac,mean_pet,mean_distance_to_node
1177212135,priority,False,2,2,22.22,22.566155599040744,88.36412402668452,,,,,,,,,,,,,,,0.0,0.0,,,,
13300645526,rail_crossing,False,6,6,23.15,22.56945027396629,88.3606898546922,2.0,24.735,17.97,0.0,0.02375,17.368571428571432,0.0,0.7485714285714286,1.9171428571428568,0.55,0.10625,-5.0,19.0,8.0,14.0,0.0,2.0614285714285714,1.8614285714285717,,0.0001026721868478
cluster_13300645520_13300645530_663844204,traffic_light,True,9,9,17.9,22.569583741577794,88.36074640477169,2.0,19.107,17.41,1.0,0.059,27.906,0.0,-2.5170000000000003,19.96625,0.55,-0.509,-5.0,63.0,10.0,2.0,2.0,1.2,2.96,,0.0001070517841446
cluster_13908994425_13908994429_13908994430,traffic_light,True,10,10,17.78,22.5691270752338,88.36052261618964,17.0,13.46875,17.92,4.0,0.08125,28.42571428571429,0.0,0.3828571428571429,5.372857142857143,0.51,0.4962499999999999,-5.0,95.0,8.0,38.0,16.0,1.7463157894736845,2.344736842105263,,0.0001655767088345
663826006,rail_crossing,False,4,4,20.84,22.564865982663346,88.3593809978731,,,,,,,,,,,,,,,0.0,0.0,,,,
13300645527,rail_crossing,False,6,6,23.15,22.56821888511195,88.36027835176473,1.0,24.80333333333333,16.26,0.0,0.12,7.569999999999999,0.0,-0.661111111111111,2.962222222222222,0.18,-0.2822222222222222,-5.0,17.0,9.0,79.0,29.0,1.949620253164557,2.310379746835443,,4.321387941076135e-05
1177212157,priority,False,5,5,26.67,22.56810642844221,88.36025779779922,105.0,13.7,18.0,77.0,0.2134782608695652,21.077142857142857,0.0,1.5742857142857145,3.3704761904761904,0.11,0.1852173913043478,-5.0,158.0,23.0,80.0,26.0,1.927,2.481,,0.000138896996155
13300645529,rail_crossing,False,6,6,23.15,22.56771763918961,88.360209927679,0.0,27.78,18.0,0.0,0.0,47.61909090909091,8.56,6.677272727272728,3.913636363636364,1.01,0.6492307692307692,-4.75,3.0,13.0,10.0,4.0,1.888,2.474,,0.0001473874271526
1189868546,priority,False,2,2,13.89,22.571313871656407,88.35187158290283,0.0,13.89,15.06,0.0,0.0,85.73,78.82,-9.05,16.1,14.42,0.675,-2.0,0.0,2.0,0.0,0.0,,,,
13974625517,priority,False,5,5,26.67,22.566712940587887,88.34570967738523,0.0,27.78,18.0,0.0,0.0,,,,,,-0.09,-1.77,0.0,1.0,0.0,0.0,,,,
13974625509,priority,False,2,2,27.78,22.565681787555352,88.34528294757445,,,,,,,,,,,,,,,0.0,0.0,,,,
cluster_11942000227_11942000230_6173706992,priority,False,10,10,17.78,22.569065575631868,88.34662306523101,12.0,20.0775,18.0,2.0,0.0107142857142857,76.38238095238096,3.58,0.8500000000000001,7.8375,0.61,-0.9567857142857142,-5.0,237.0,28.0,16.0,6.0,1.4428571428571428,3.71375,1.23,0.000125990666472
13974625520,priority,False,4,4,23.61,22.569303057881367,88.34678156155216,5.0,17.839285714285715,14.29,0.0,0.0185714285714285,99.8190909090909,8.8,-5.22,14.811818181818182,1.11,-0.7207142857142858,-5.0,62.0,14.0,2.0,0.0,3.02,2.68,1.39,2.362732760235373e-05
1190100120,priority,False,4,4,12.5,22.56983910543296,88.34974358120262,0.0,27.78,16.19,0.0,0.0,24.05333333333333,14.17,1.9833333333333332,1.99,1.24,0.2433333333333333,-4.4,1.0,6.0,0.0,0.0,,,,
10279761589,priority,False,6,6,12.97,22.569867161559,88.34966157758176,0.0,27.78,18.0,0.0,0.0,86.27000000000001,66.74,9.54,5.085,4.15,-0.27,-2.45,0.0,4.0,0.0,0.0,,,,
664447219,priority,False,4,4,8.33,22.576751105583245,88.34944647045741,0.0,11.11,11.08,0.0,0.0,,,,,,-0.02,-2.46,0.0,1.0,0.0,0.0,,,,
10943566925,priority,False,6,6,13.89,22.57548258051617,88.35087129653654,1.0,12.06,14.98,0.0,0.0033333333333333,138.23,138.23,-4.55,19.88,19.88,0.2716666666666666,-5.0,5.0,6.0,0.0,0.0,,,,
10845792723,priority,False,2,2,5.56,22.571072748242333,88.35685090510142,,,,,,,,,,,,,,,0.0,0.0,,,,
1189036859,priority,False,4,4,8.33,22.570866037038574,88.35678265130814,1.0,11.186,12.13,0.0,0.008,63.754,11.32,1.104,6.158,1.09,0.024,-2.09,0.0,5.0,0.0,0.0,,,,
10904686761,priority,False,2,2,5.56,22.575129694793016,88.3578471505996,,,,,,,,,,,,,,,0.0,0.0,,,,
1189036625,priority,False,6,4,9.26,22.57374033233148,88.36268526717205,1.0,11.083333333333334,11.56,0.0,0.0133333333333333,,,,,,-0.0133333333333333,-2.1,0.0,3.0,0.0,0.0,,,,
10907705739,priority,False,2,2,5.56,22.570921163345982,88.3551198475642,,,,,,,,,,,,,,,0.0,0.0,,,,
10907705738,priority,False,4,4,8.33,22.571354234890247,88.3552721034328,3.0,11.522,12.81,0.0,0.0579999999999999,44.63,11.34,-0.0124999999999999,4.1625,1.05,0.0559999999999999,-2.04,0.0,5.0,0.0,0.0,,,,
10907806555,priority,False,2,2,2.78,22.570248629498018,88.35500211117885,,,,,,,,,,,,,,,0.0,0.0,,,,
10943433498,priority,False,6,4,15.74,22.57189917673686,88.35844522637174,3.0,15.665555555555557,17.98,0.0,0.015,62.165333333333336,0.0,3.6233333333333335,4.828666666666666,0.33,-0.3738888888888889,-5.0,70.0,18.0,14.0,4.0,1.741428571428571,2.9957142857142856,,7.216166369053378e-05
10943435169,priority,False,4,4,12.5,22.571227085113097,88.35566561702663,0.0,11.507142857142856,15.7,0.0,0.0,51.685,13.17,-0.0199999999999999,4.875,1.17,-0.9385714285714286,-5.0,9.0,7.0,0.0,0.0,,,,
10943490816,priority,False,4,4,9.72,22.573179905363084,88.35295639246293,2.0,12.183333333333335,14.02,0.0,0.04,17.89666666666667,8.07,-2.02,1.8683333333333332,1.09,1.2066666666666668,-1.55,0.0,6.0,0.0,0.0,,,,
10943490813,priority,False,4,4,9.72,22.573213361407447,88.3523189130164,1.0,14.066666666666668,15.94,0.0,0.0066666666666666,24.454,13.56,-0.384,1.864,1.01,0.145,-2.33,0.0,6.0,0.0,0.0,,,,
10943498145,priority,False,4,4,12.5,22.566908653973183,88.34870693598243,2.0,10.674285714285714,15.52,0.0,0.0128571428571428,32.375,7.85,0.825,3.135,1.04,-0.0628571428571428,-5.0,7.0,7.0,0.0,0.0,,,,
10943524296,priority,False,2,2,13.89,22.570299369687007,88.3521627871763,,,,,,,,,,,,,,,0.0,0.0,,,,
11125046588,priority,False,6,6,12.04,22.569910106142785,88.35154813827754,2.0,11.011666666666663,13.34,0.0,0.0058333333333333,38.79875,10.22,0.09375,3.7025,1.03,0.0516666666666666,-2.27,0.0,12.0,0.0,0.0,,,,
10943525385,priority,False,6,6,9.26,22.566210885710586,88.35800047906667,1.0,10.95625,12.12,0.0,0.00125,77.41,76.19,0.76,7.05,6.93,0.25,-1.84,0.0,8.0,0.0,0.0,,,,
11843639556,right_before_left,False,6,6,2.78,22.56737143751662,88.35732534584659,1.0,2.6016666666666666,3.16,0.0,0.0116666666666666,84.47,6.84,-2.0525,34.989999999999995,2.35,-0.0249999999999999,-2.46,0.0,6.0,2.0,0.0,2.84,1.52,,9.89435856377698e-05
10943490945,priority,False,6,6,8.33,22.567072327208557,88.35708599833336,1.0,9.2,12.29,0.0,0.02,72.80666666666667,4.23,2.6566666666666667,11.636666666666668,1.49,-0.0822222222222222,-4.31,2.0,9.0,0.0,0.0,,,,
10943595338,priority,False,2,2,2.78,22.57567787060172,88.34968723645342,,,,,,,,,,,,,,,0.0,0.0,,,,
