node_id,total_vehicle_count,mean_speed_ms,max_speed_observed_ms,total_halting_count,mean_occupancy_pct,mean_gap_m,min_gap_m,mean_rel_velocity_ms,mean_time_gap_s,min_time_gap_s,mean_acceleration_ms2,min_acceleration_ms2,total_hard_brakes,num_lane_rows
1186025287,1,12.605,11.59,0,0.175,30.42,13.02,-2.5,2.675,1.12,1.365,0.49,0,2
1186025292,0,22.22,17.95,0,0.00875,23.32,23.28,0.14,1.32,1.31,-2.1125,-5.0,32,8
1186025303,1,21.325714285714287,18.0,0,0.014285714285714287,54.544285714285714,11.33,3.9528571428571433,3.6114285714285717,0.96,0.07857142857142858,-5.0,8,7
1186025305,3,11.1175,13.22,0,0.012500000000000002,50.20181818181818,6.43,0.04090909090909092,4.845454545454546,0.99,0.2783333333333333,-2.24,0,12
1186025318,0,13.89,15.59,0,0.0,28.292,15.46,-0.52,2.166,1.3,-0.04,-0.87,0,6
1186025321,1,13.398333333333333,12.49,0,0.04666666666666667,35.552499999999995,11.46,-0.31749999999999995,3.3075,1.21,0.96,-2.28,0,6
1186025330,2,20.457142857142856,18.0,0,0.02214285714285714,69.10818181818182,7.69,2.924545454545455,7.593636363636364,1.02,-1.7107142857142856,-5.0,86,14
1186025346,4,15.437142857142858,18.0,0,0.038571428571428576,58.08,8.93,4.421428571428572,4.595714285714286,1.05,0.42428571428571427,-3.77,3,7
1186025349,0,11.11,11.64,0,0.0,58.451249999999995,4.58,2.9475000000000002,6.13125,0.59,0.425,-2.59,0,10
1187083424,2,12.870909090909093,16.25,0,0.012727272727272728,75.91666666666667,22.21,-1.1733333333333333,12.136666666666668,1.78,0.5227272727272727,-4.0,1,11
1187083489,0,11.11,12.34,0,0.0,33.805,8.64,-0.025000000000000022,3.145,0.87,-0.08200000000000002,-1.74,0,5
1189036468,1,21.143749999999997,17.98,0,0.0425,58.96,13.12,5.2325,3.83125,0.8,-0.06875,-3.93,2,8
1189036484,0,22.22,18.0,0,0.0,54.074999999999996,23.39,-4.45,6.555,1.31,0.49,-2.02,0,9
1189036489,0,13.89,14.34,0,0.0,29.195,10.46,-0.8075,3.0475,0.84,0.727,-1.78,0,10
1189036513,1,12.716666666666667,15.12,0,0.0011111111111111111,49.23333333333333,9.22,0.22000000000000006,3.956666666666667,1.07,0.37555555555555553,-1.35,0,9
1189036518,2,13.815714285714288,15.97,0,0.018571428571428572,61.45666666666667,15.18,0.034999999999999996,4.726666666666667,1.13,0.0028571428571428636,-2.53,0,7
1189036526,1,10.93,12.03,0,0.006666666666666667,45.194,10.01,-0.148,4.54,1.01,0.14833333333333334,-2.17,0,6
1189036539,1,14.030000000000001,14.31,0,0.01,,,,,,0.36000000000000004,-2.37,0,3
1189036541,0,11.11,11.1,0,0.0,,,,,,-0.05,-1.47,0,1
1189036584,0,12.8475,12.75,0,0.0,118.895,10.88,-0.125,14.9475,1.57,-1.82,-5.0,36,8
1189036611,0,11.11,10.92,0,0.0,,,,,,0.14,-1.49,0,1
1189036615,16,11.251249999999999,17.94,11,0.2375,27.97125,0.0,4.16,2.43875,0.5,-0.315,-5.0,27,8
1189036617,0,11.11,12.92,0,0.0,72.01333333333334,13.53,2.1366666666666667,7.676666666666667,1.79,0.4608333333333334,-1.8,0,12
1189036625,1,11.083333333333334,11.56,0,0.013333333333333334,,,,,,-0.013333333333333336,-2.1,0,3
1189036644,0,11.11,12.43,0,0.0,89.38,79.62,0.49,9.36,8.3,-0.13714285714285715,-1.57,0,7
1189036694,8,10.714285714285714,12.39,0,0.047142857142857146,35.98428571428572,10.21,1.7914285714285714,3.3542857142857145,1.03,-0.017142857142857144,-2.76,0,7
1189036707,0,22.22,17.97,0,0.0,24.48,24.27,-0.39,1.43,1.38,0.43624999999999997,-2.05,0,8
1189036717,3,15.718,17.91,0,0.011333333333333332,84.0175,0.65,-1.0483333333333333,7.511666666666667,0.06,0.23066666666666666,-5.0,13,15
1189036737,5,19.062857142857144,17.98,0,0.012857142857142857,55.74583333333334,12.45,-0.6683333333333333,4.713333333333334,1.03,0.8057142857142857,-2.38,0,14
1189036766,0,13.89,15.62,0,0.0,75.61222222222221,9.58,-0.27999999999999997,9.213333333333333,1.03,-0.155,-5.0,16,12
1189036777,2,20.867272727272727,17.96,0,0.01909090909090909,60.16625,13.1,3.38,4.95,1.05,0.3063636363636364,-5.0,6,11
1189036795,3,14.945333333333334,17.34,0,0.008666666666666666,70.01,60.71,-4.16,5.76,4.98,0.05799999999999998,-5.0,33,15
1189036797,0,13.89,15.79,0,0.0,73.67750000000001,16.88,0.5125,8.1725,3.77,0.458,-0.92,0,10
1189036799,0,22.22,17.93,0,0.0,31.020000000000003,19.53,2.935,1.8650000000000002,1.21,-0.5566666666666666,-2.42,0,3
1189036817,2,16.312500000000004,17.89,0,0.005,101.84142857142857,14.9,2.8642857142857143,6.671428571428572,1.07,0.025833333333333337,-2.44,0,12
1189036844,0,22.22,17.96,0,0.0,36.27333333333333,16.73,4.3,2.4966666666666666,1.09,-0.4066666666666667,-4.98,4,3
1189036857,8,19.176666666666666,17.98,0,0.027333333333333334,48.36571428571428,11.79,-0.38642857142857145,4.093571428571429,1.04,0.8693333333333334,-3.1,1,15
1189036859,1,11.186,12.13,0,0.008,63.754,11.32,1.1039999999999999,6.1579999999999995,1.09,0.024,-2.09,0,5
1189036870,0,11.11,13.16,0,0.0008333333333333334,97.69333333333333,21.77,-2.893333333333333,9.953333333333333,1.96,0.31333333333333335,-2.41,0,12
1189036917,2,12.36375,17.79,0,0.01125,96.36666666666667,15.16,-1.5200000000000002,7.733333333333333,1.03,0.77375,-1.83,0,8
1189036932,1,13.442000000000002,16.23,0,0.011,44.651666666666664,7.42,1.42,4.1049999999999995,0.88,-0.31199999999999994,-5.0,33,10
1189036935,2,11.078,12.45,0,0.032,35.7825,11.41,-0.6775000000000001,3.9299999999999997,1.03,0.038,-1.75,0,5
