node_id,distance_to_node,time,ego_id,foe_id,min_ttc,max_drac,pet
cluster_10281958925_10281958926_6508834064_6508834065_#1more,8.411902004851337e-05,104.5,76,175,1.15,3.86,
cluster_10279701142_664471710,0.00012328089112983222,116.5,195,2,0.87,3.5,
664446557,8.093548506194578e-05,122.5,72,164,2.32,2.96,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,8.411902004851337e-05,104.5,175,76,1.15,3.86,
cluster_10279701142_664471710,9.771177239537115e-05,116.5,1,195,0.25,4.73,
1177161219,9.40477729396916e-06,114.5,90,18,,3.15,
cluster_1177160373_664472773,6.405886550946e-05,121.5,183,154,,3.4,3.35
cluster_1177160373_664472773,3.370688134513571e-05,119.5,154,183,4.33,3.4,3.35
1177160399,6.938305102765993e-05,90.0,85,126,2.1,2.3,
cluster_10279701142_664471710,0.00012328089112983222,116.5,2,195,0.87,3.5,
cluster_10279701142_664471710,9.304437439200257e-05,117.0,2,98,2.32,1.23,
10281958928,4.2298195119675416e-05,123.5,104,48,2.39,2.85,
1177211785,0.0001051200405023818,108.0,171,180,1.18,3.35,
cluster_10281958922_663940594,0.00017467354081999979,45.5,55,73,0.98,3.93,
13300645527,6.346572709315531e-05,52.0,55,34,1.87,3.71,
cluster_10917990606_663844223,3.272779652125806e-05,54.0,55,0,,3.64,
cluster_10281958922_663940594,0.00017467354081999979,59.5,73,55,0.98,3.93,
10281958928,7.807310756327764e-05,123.5,205,104,1.21,1.12,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.000230098486912942,110.0,61,35,1.6,2.55,
664446557,8.093548506194578e-05,122.5,164,72,2.32,2.96,
10281958928,7.807310756327764e-05,123.5,104,205,1.21,1.12,
cluster_13298740740_664446558,6.530116535994055e-05,122.0,155,58,2.3,2.08,
cluster_11944729366_664471711,0.00010592091378186864,125.0,107,169,2.87,1.61,3.25
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00020207817636230875,110.5,61,138,2.77,1.75,
1174832475,4.279942021348056e-05,126.0,187,106,1.74,2.03,
1190128211,0.00020720425789387426,88.0,56,148,1.78,2.28,
1177161154,2.2194208963435854e-05,127.5,149,191,2.33,2.13,0.95
1177161154,2.2194208963435854e-05,127.5,191,149,2.33,2.13,0.95
1177211785,0.0001051200405023818,108.0,180,171,1.18,1.91,
cluster_1177212073_13300645524_664471560,0.00022672665192410214,88.0,148,38,1.47,1.52,
1177161219,8.3571208400612e-05,120.0,26,18,1.29,3.3,
cluster_10279701142_664471710,0.00011751796282509734,116.5,133,195,0.92,2.56,
cluster_10279701142_664471710,0.00011751796282509734,116.5,195,133,0.92,2.56,
1177160403,5.160697091599688e-05,129.0,15,5,2.51,3.42,
1177161219,8.3571208400612e-05,120.0,18,26,1.29,3.3,
1177161631,9.421949300349944e-06,131.0,123,160,,3.0,
1177160399,6.938305102765993e-05,67.5,41,84,2.38,2.0,
1177161219,5.324993540900527e-06,101.0,41,15,1.89,2.31,3.94
663825934,5.638438402216878e-06,112.5,41,24,2.3,1.55,7.63
1177160403,5.160697091599688e-05,129.0,15,8,1.84,2.44,
1177161022,0.0002739075259089312,100.0,35,138,1.05,3.49,
1177161022,0.00031330295407590455,100.5,35,70,1.92,2.95,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00029360536708060073,101.5,35,16,2.97,2.11,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.0003314028430226389,101.5,35,48,2.64,2.37,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.000230098486912942,110.0,35,61,1.6,2.55,
1190128211,0.00020720425789387426,88.0,148,56,1.78,2.28,
cluster_1177212073_13300645524_664471560,0.00018852552918598492,90.0,148,23,2.29,1.78,
cluster_1177212073_13300645524_664471560,0.00016289544074036722,95.0,148,116,2.65,1.53,
cluster_1177212073_13300645524_664471560,0.00013414391658935341,108.0,180,56,1.62,2.54,
1177161022,0.0002739075259089312,100.0,138,35,1.05,3.49,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00020207817636230875,110.5,138,61,2.77,1.75,
1177160403,5.160697091599688e-05,129.0,15,10,2.43,1.87,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00010174789666539226,134.5,225,99,2.44,1.41,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.0001233597413124342,132.0,99,166,2.06,2.66,
cluster_10917990606_663844223,6.008882388185018e-05,132.5,190,122,2.51,2.52,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,4.322076498563265e-05,134.5,225,166,2.12,1.1,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.0001233597413124342,132.0,166,99,2.06,2.66,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,4.322076498563265e-05,134.5,166,225,2.12,1.1,
cluster_11158897100_11158897101_11158897102_664471748_#1more,0.0002614506859606199,125.5,170,59,1.35,3.08,
cluster_10917990606_663844223,6.008882388185018e-05,132.5,190,116,2.24,1.98,
cluster_10281965682_663944134,0.00012309930443796385,134.5,215,32,1.12,3.51,
cluster_13298747747_13298747748_13298747749_13298747755_#2more,0.00010174789666539226,134.5,99,225,2.44,1.41,
cluster_13298740740_664446558,6.530116535994055e-05,110.0,117,58,2.78,1.4,
1177161483,0.00011063106124423098,64.0,48,70,1.4,3.25,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.00019725959096935934,77.5,48,7,2.89,1.86,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.0003314028430226389,88.5,48,138,2.42,2.11,
cluster_10281958925_10281958926_6508834064_6508834065_#1more,0.0003314028430226389,101.5,48,35,2.64,2.37,
10281958928,4.2298195119675416e-05,123.5,48,104,2.39,2.85,
cluster_10279761592_11942000229_11942000233_663943274,0.00011941785219705595,121.0,88,111,1.31,2.97,
