node_id,total_conflicts,severe_conflicts,mean_min_ttc,mean_max_drac,mean_pet,mean_distance_to_node
10279701147,25,12,1.7452,2.8144,2.34,0.0001724536731100746
10281958927,2,0,1.8,2.5,,4.6121911289361525e-05
10281958928,4,2,1.8,1.985,,6.018565134147653e-05
10943433498,14,4,1.7414285714285713,2.9957142857142856,,7.216166369053378e-05
10943490952,3,0,2.02,1.4233333333333331,1.83,7.08447676747382e-05
1174832475,24,8,2.0974999999999997,2.5566666666666666,3.965,4.4710159759317324e-05
1174832699,14,14,1.1785714285714286,2.9785714285714286,0.87,0.00025621522506896516
1174832716,4,0,1.8,2.775,,6.950382358891608e-05
1174832834,2,0,2.24,3.05,,7.21742600703964e-05
1174832855,4,0,1.86,1.28,1.27,6.368307192744277e-05
1174832895,2,0,2.12,1.38,,9.817261077250523e-05
1174832997,2,2,1.81,4.59,,4.498242691907453e-05
1174833124,2,0,2.53,1.44,,1.6541993120241954e-05
1174833147,2,0,,3.27,1.39,3.853259998128617e-05
1176978389,2,2,1.35,2.33,,6.766942879006044e-05
1176978438,4,0,2.8200000000000003,1.76,3.02,3.80785737010377e-05
1177160369,12,2,2.106666666666667,2.5875,,0.0001318478456856841
1177160399,22,4,2.2209090909090907,2.0090909090909093,,7.104649193287093e-05
1177160403,54,10,2.1244444444444444,2.448888888888889,,0.00014637561194836424
1177160471,60,20,1.731,2.5883333333333334,0.83,0.00013544828083979536
1177160566,78,22,1.9802564102564104,2.7443589743589745,,0.00010239542290454157
1177160573,4,0,2.08,1.67,1.065,2.2305888279865632e-05
1177160599,26,10,2.006666666666667,2.468461538461538,1.5699999999999998,8.709352760927509e-05
1177160684,2,0,2.65,1.1,,0.00010966912244709262
1177160691,22,4,2.262857142857143,3.0777272727272726,3.1244444444444444,4.635802693758565e-05
1177160765,44,18,1.6572727272727272,2.5895454545454544,,0.00015089476199205536
1177160779,2,0,3.57,2.73,0.85,1.5598315905235563e-05
1177160864,154,48,2.0658441558441556,2.458961038961039,,0.00017080928360782292
1177160866,4,0,2.44,2.5700000000000003,,6.976311754499276e-05
1177161022,54,18,1.807037037037037,2.555185185185185,,0.0002905708241084514
1177161154,42,8,2.0976470588235294,2.18,2.1166666666666663,0.00012295914392902477
1177161219,60,12,2.117037037037037,2.5083333333333333,1.7742857142857142,6.932957168860185e-05
1177161371,4,0,1.79,2.915,2.53,6.356218410231044e-05
1177161483,75,26,2.0705714285714287,2.2457333333333334,3.0477777777777777,0.0001385244146439412
1177161508,1,0,5.22,3.18,,1.64842774937906e-05
1177161549,28,8,2.125714285714286,2.4614285714285713,,0.0001119985818937731
1177161612,2,2,1.38,6.09,,6.364615465422337e-05
1177161631,56,22,1.9023076923076923,2.3575000000000004,3.763333333333333,0.0001119567801234776
1177161675,44,10,2.07,2.1931818181818183,,0.00013898966516738637
1177161698,2,0,2.88,2.23,,6.637740116507924e-05
1177211334,12,2,2.07,1.9733333333333334,,0.00012651748417956055
1177211474,2,0,2.77,1.47,,7.584106565628513e-05
1177211571,19,6,2.2073684210526316,1.7326315789473685,1.91,6.908794461420413e-05
1177211724,76,14,2.1007894736842103,2.658157894736842,,0.00025568416854668084
1177211769,8,4,1.5175,2.8975,1.48,6.789363996292874e-05
1177211785,62,26,1.7041935483870967,2.103225806451613,,0.0001032606705087911
1177211896,4,0,2.62,1.18,,7.733672735247537e-05
1177212032,2,0,1.85,3.69,,5.921606887527914e-05
1177212077,2,2,1.45,1.84,,0.00017493048442223646
1177212096,60,16,2.093,2.101,,0.00015048730991758876
1177212157,80,26,1.927,2.481,,0.00013889699615500764
11843639551,44,18,1.8059999999999998,2.4822727272727274,1.835,0.00011539925053823439
11843639556,2,0,2.84,1.52,,9.89435856377698e-05
1186025330,8,4,1.6675,4.0125,2.41,2.8943917697569056e-05
1189036584,4,0,2.405,0.7525,1.38,4.429243078160279e-05
1189036615,60,10,2.2353333333333336,2.0669999999999997,,0.00013469114123195697
1189868548,30,12,1.8226666666666667,2.369333333333333,,0.00013048232506049053
1189868590,2,0,2.78,2.09,,7.484513585303708e-05
1190128211,14,6,1.832857142857143,2.0357142857142856,3.6466666666666665,0.00010245298411260621
1190128241,8,4,1.7750000000000001,2.465,,0.00010929560459041448
1190128257,2,2,1.36,1.54,,0.00016099662533261802
1190128289,66,24,1.9357575757575756,2.335757575757576,,0.00016476282329770282
1190128320,9,4,1.4825,2.7366666666666664,2.785,0.00011413226352759571
1191714373,2,2,1.13,5.63,,5.7535895221631286e-05
1191863749,4,2,1.8900000000000001,2.6500000000000004,,9.169899174576026e-05
13300645526,14,0,2.0614285714285714,1.8614285714285714,,0.00010267218684789383
13300645527,79,29,1.949620253164557,2.310379746835443,,4.321387941076135e-05
13300645529,10,4,1.888,2.4739999999999998,,0.000147387427152673
13974625520,2,0,3.02,2.68,1.39,2.362732760235373e-05
410457342,2,0,,2.41,1.55,3.396365767341577e-05
5424222002,6,0,1.9333333333333333,2.9299999999999997,,4.204735265693567e-05
6469564795,10,4,1.687142857142857,2.044,1.5574999999999999,3.879514341930216e-05
6544715978,2,2,1.02,5.08,1.3,2.025173250141523e-05
663825934,12,2,1.7675,1.9733333333333334,2.5411111111111113,2.6281679576466147e-05
663842386,8,2,1.9875,1.5525,,0.00032792936538604593
664446557,56,12,2.3716,2.2478571428571428,1.6099999999999999,8.378253255190231e-05
664446571,2,0,2.55,0.62,,6.89736489540556e-05
664446590,6,0,1.9266666666666665,2.29,,4.3854783801467487e-05
664446594,2,0,,3.01,1.29,2.4390496451000442e-05
664446599,2,0,2.35,2.99,1.75,2.3507772653622988e-05
664447004,2,0,2.53,0.8250000000000001,1.13,2.1972261795881268e-05
664447208,2,0,2.3,0.75,,9.06859982428395e-05
664472699,82,12,2.1799999999999997,2.341219512195122,,0.00015727474620668032
664472749,2,0,1.57,3.31,1.93,1.047196695229909e-05
664472751,6,0,1.9333333333333333,2.5366666666666666,1.01,3.130222480254328e-05
664472776,4,0,2.4050000000000002,1.165,,7.256144268826087e-05
8021489624,30,16,1.7493333333333332,2.1053333333333333,,8.558602836152643e-05
cluster_10279701141_664472702,2,0,1.7,2.13,,9.386762991074034e-05
cluster_10279701142_664471710,179,74,1.7781564245810058,2.309832402234637,0.8476923076923076,0.00018407980454490961
cluster_10279761592_11942000229_11942000233_663943274,104,32,2.085576923076923,2.2284615384615383,1.415,0.00020973089295813028
cluster_10281958922_663940594,30,8,2.0153333333333334,2.0706666666666664,0.6,0.00017357908037629813
cluster_10281958925_10281958926_6508834064_6508834065_#1more,190,48,2.129052631578947,2.3322105263157895,1.7333333333333334,0.00020490486473913729
cluster_10281958932_663804338,4,0,2.665,3.2750000000000004,3.16,0.00010708766536500001
cluster_10281965682_663944134,28,10,1.756153846153846,2.5799999999999996,,0.00011799260618072529
cluster_10560867453_663943486,18,6,1.7333333333333334,2.393333333333333,3.2433333333333336,0.00015454268758291503
cluster_10917990606_663844223,29,9,1.911153846153846,2.721379310344828,,9.094659162663463e-05
